"","Charity","Religious","Education","Scientific","Literary","Safety","Sports","Cruelty","NTE Art","NTE Ed","NTE Environment","NTE Health","NTE Human","NTE International","NTE Public","NTE Religion","NTE Mutual","NTE Unknown"
"Sensitivity",0.646586345381526,0.935374149659864,0.772903225806452,0.954305135951662,0.969474071349761,0.990596745027125,0.976511359260685,0.975880551301685,0.972559780478244,0.935406698564593,0.98628526645768,0.957202904088651,0.859083191850594,0.98230408089563,0.914345991561181,0.965769230769231,0.998914616497829,0.996382054992764
"Specificity",0.870143884892086,0.763313609467456,0.722312703583062,0.538461538461538,0.406779661016949,0.153846153846154,0.651933701657459,0.662650602409639,0.748898678414097,0.67037037037037,0.831858407079646,0.732919254658385,0.751730959446093,0.222222222222222,0.580882352941177,0.719101123595506,0.285714285714286,0.571428571428572
"Pos.Pred.Value",0.471449487554905,0.971731448763251,0.778427550357375,0.976807112485504,0.986896293523025,0.996,0.975759907656791,0.978502879078695,0.977541371158392,0.963449691991786,0.985127201565558,0.983124018838305,0.858111927642736,0.997433076640997,0.926860564585116,0.980476376415463,0.996391194514616,0.997826086956522
"Neg.Pred.Value",0.932177263969171,0.575892857142857,0.71589991928975,0.366492146596859,0.224299065420561,0.0714285714285717,0.659217877094972,0.635838150289018,0.708333333333334,0.527696793002915,0.84304932735426,0.513043478260869,0.753221010901883,0.0392156862745108,0.538636363636364,0.589861751152074,0.571428571428594,0.44444444444445
"Precision",0.471449487554905,0.971731448763251,0.778427550357375,0.976807112485504,0.986896293523025,0.996,0.975759907656791,0.978502879078695,0.977541371158392,0.963449691991786,0.985127201565558,0.983124018838305,0.858111927642736,0.997433076640997,0.926860564585116,0.980476376415463,0.996391194514616,0.997826086956522
"Recall",0.646586345381526,0.935374149659864,0.772903225806452,0.954305135951662,0.969474071349761,0.990596745027125,0.976511359260685,0.975880551301685,0.972559780478244,0.935406698564593,0.98628526645768,0.957202904088651,0.859083191850594,0.98230408089563,0.914345991561181,0.965769230769231,0.998914616497829,0.996382054992764
"F1",0.545300592718036,0.953206239168111,0.775655551958563,0.965425023877746,0.978107606679035,0.993291024478694,0.976135488837567,0.97718995591336,0.97504421300845,0.949221120776856,0.985705893871157,0.96999031945789,0.858597285067873,0.98981077147016,0.920560747663551,0.973067235031971,0.997651309846432,0.997103548153512
"Prevalence",0.151921903599756,0.896888346552776,0.557955363570914,0.953203743700504,0.978761699064075,0.99532037437005,0.934845212383009,0.940244780417567,0.918286537077034,0.90280777537797,0.918646508279338,0.942044636429086,0.636069114470842,0.996760259179266,0.853131749460043,0.935925125989921,0.994960403167746,0.994960403167746
"Detection.Rate",0.0982306284319707,0.838926174496644,0.431245500359971,0.909647228221742,0.948884089272858,0.985961123110151,0.912886969042477,0.917566594672426,0.893088552915767,0.844492440604752,0.906047516198704,0.901727861771058,0.546436285097192,0.979121670266379,0.780057595392369,0.903887688984881,0.993880489560835,0.991360691144708
"Detection.Prevalence",0.208358755338621,0.86333129957291,0.553995680345572,0.931245500359971,0.961483081353492,0.989920806335493,0.935565154787617,0.93772498200144,0.913606911447084,0.876529877609791,0.919726421886249,0.917206623470122,0.63678905687545,0.981641468682505,0.841612670986321,0.921886249100072,0.997480201583873,0.993520518358531
"Balanced.Accuracy",0.758365115136806,0.84934387956366,0.747607964694757,0.7463833372066,0.688126866183355,0.572221449436639,0.814222530459072,0.819265576855662,0.86072922944617,0.802888534467482,0.909071836768663,0.845061079373518,0.805407075648344,0.602263151558926,0.747614172251179,0.842435177182368,0.642314451106058,0.783905313210668
"Accuracy",0.836180597925564,0.917632702867602,0.750539956803456,0.934845212383009,0.95752339812815,0.986681065514759,0.955363570914327,0.957163426925846,0.954283657307415,0.909647228221742,0.973722102231821,0.944204463642909,0.820014398848092,0.979841612670986,0.865370770338373,0.94996400287977,0.99532037437005,0.994240460763139
"Kappa",0.448367778630858,0.610733355031095,0.494755588868401,0.402884293378998,0.269146218022752,0.091755765662273,0.631691831982225,0.626167864969818,0.703116716567118,0.54056746616907,0.823123069167206,0.574573822937188,0.611072750396067,0.0614978101133002,0.479656473868936,0.621450937103577,0.378865536101286,0.497149063263647
"AccuracyLower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AccuracyUpper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AccuracyNull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AccuracyPValue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McnemarPValue",0.0197403356669836,0.000758717740288475,0.0461263352492585,0.000127294043848544,1.8586847988616e-06,6.80462350932682e-18,2.24744484093416e-06,1.43958964604609e-06,3.23854843466592e-06,0.00119782368748682,7.17434291036928e-10,3.65367730535392e-05,0.0185017857015564,4.01226731465519e-12,0.00705988248738318,1.04442386842589e-05,3.6896350617282e-48,1.53671078097491e-39
